#organism	#division	#name	#tree	#NCBI-taxid
aqu	AQU	Amphimedon queenslandica	Metazoa;Porifera;	400682
nve	NVE	Nematostella vectensis	Metazoa;Cnidaria;	45351
hma	HMA	Hydra magnipapillata	Metazoa;Cnidaria;	6085
sko	SKO	Saccoglossus kowalevskii	Metazoa;Bilateria;Deuterostoma;Hemichordata;	10224
spu	SPU	Strongylocentrotus purpuratus	Metazoa;Bilateria;Deuterostoma;Echinodermata;	7668
cin	CIN	Ciona intestinalis	Metazoa;Bilateria;Deuterostoma;Chordata;Urochordata;	7719
csa	CSA	Ciona savignyi	Metazoa;Bilateria;Deuterostoma;Chordata;Urochordata;	51511
odi	ODI	Oikopleura dioica	Metazoa;Bilateria;Deuterostoma;Chordata;Urochordata;	34765
bfl	BFL	Branchiostoma floridae	Metazoa;Bilateria;Deuterostoma;Chordata;Cephalochordata;	7739
xla	XLA	Xenopus laevis	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Amphibia;	8355
xtr	XTR	Xenopus tropicalis	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Amphibia;	8364
gga	GGA	Gallus gallus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Aves;	9031
cfa	CFA	Canis familiaris	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Carnivora;	9615
mdo	MDO	Monodelphis domestica	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Metatheria;	13616
age	AGE	Ateles geoffroyi	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Atelidae;	9509
lla	LLA	Lagothrix lagotricha	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Atelidae;	9519
sla	SLA	Saguinus labiatus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cebidae;	78454
mml	MML	Macaca mulatta	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;	9544
mne	MNE	Macaca nemestrina	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;	9545
pbi	PBI	Pygathrix bieti	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Cercopithecidae;	61621
ggo	GGO	Gorilla gorilla	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9593
hsa	HSA	Homo sapiens	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9606
ppa	PPA	Pan paniscus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9597
ppy	PPY	Pongo pygmaeus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9600
ptr	PTR	Pan troglodytes	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9598
ssy	SSY	Symphalangus syndactylus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9590
lca	LCA	Lemur catta	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Lemuridae;	9447
oan	OAN	Ornithorhynchus anatinus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Prototheria;	9258
cgr	CGR	Cricetulus griseus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Rodentia;	10029
mmu	MMU	Mus musculus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Rodentia;	10090
rno	RNO	Rattus norvegicus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Rodentia;	10116
bta	BTA	Bos taurus	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Ruminantia;	9913
oar	OAR	Ovis aries	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Ruminantia;	9940
ssc	SSC	Sus scrofa	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Suina;	9823
dre	DRE	Danio rerio	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	7955
fru	FRU	Fugu rubripes	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	31033
tni	TNI	Tetraodon nigroviridis	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	99883
aga	AGA	Anopheles gambiae	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7165
ame	AME	Apis mellifera	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7460
bmo	BMO	Bombyx mori	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7091
dan	DAN	Drosophila ananassae	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7217
der	DER	Drosophila erecta	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7220
dgr	DGR	Drosophila grimshawi	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7222
dme	DME	Drosophila melanogaster	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7227
dmo	DMO	Drosophila mojavensis	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7230
dpe	DPE	Drosophila persimilis	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7234
dps	DPS	Drosophila pseudoobscura	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7237
dse	DSE	Drosophila sechellia	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7238
dsi	DSI	Drosophila simulans	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7240
dvi	DVI	Drosophila virilis	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7244
dwi	DWI	Drosophila willistoni	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7260
dya	DYA	Drosophila yakuba	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7245
lmi	LMI	Locusta migratoria	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7004
tca	TCA	Tribolium castaneum	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7070
dpu	DPU	Daphnia pulex	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Crustacea;	6669
isc	ISC	Ixodes scapularis	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Chelicerata;	6945
cbr	CBR	Caenorhabditis briggsae	Metazoa;Bilateria;Ecdysozoa;Nematoda;	6238
cel	CEL	Caenorhabditis elegans	Metazoa;Bilateria;Ecdysozoa;Nematoda;	6239
sja	SJA	Schistosoma japonicum	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	6182
sma	SMA	Schistosoma mansoni	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	6183
sme	SME	Schmidtea mediterranea	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	79327
cte	CTE	Capitella teleta	Metazoa;Bilateria;Lophotrochozoa;Annelida;	283909
cla	CLA	Cerebratulus lacteus	Metazoa;Bilateria;Lophotrochozoa;Nemertea;	6221
hru	HRU	Haliotis rufescens	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	6454
